NightTimeOrder 	energyWeek0Z1 	priceWeek0Z1 	energyWeek1Z1 	priceWeek1Z1 	energyWeek2Z1 	priceWeek2Z1 	energyWeek3Z1 	priceWeek3Z1 	energyWeek4Z1 	priceWeek4Z1 	energyWeek5Z1 	priceWeek5Z1 	energyWeek6Z1 	priceWeek6Z1 	energyWeek7Z1 	priceWeek7Z1 	energyWeek8Z1 	priceWeek8Z1 	energyWeek9Z1 	priceWeek9Z1 	energyWeek10Z1 	priceWeek10Z1 	energyWeek11Z1 	priceWeek11Z1 	energyWeek12Z1 	priceWeek12Z1 	energyWeek13Z1 	priceWeek13Z1 	energyWeek14Z1 	priceWeek14Z1 	energyWeek15Z1 	priceWeek15Z1 	energyWeek16Z1 	priceWeek16Z1 	energyWeek17Z1 	priceWeek17Z1 	energyWeek18Z1 	priceWeek18Z1 	energyWeek19Z1 	priceWeek19Z1 	energyWeek20Z1 	priceWeek20Z1 	energyWeek21Z1 	priceWeek21Z1 	energyWeek22Z1 	priceWeek22Z1 	energyWeek23Z1 	priceWeek23Z1 	energyWeek24Z1 	priceWeek24Z1 	energyWeek25Z1 	priceWeek25Z1 	energyWeek26Z1 	priceWeek26Z1 	energyWeek27Z1 	priceWeek27Z1 	energyWeek28Z1 	priceWeek28Z1 	energyWeek29Z1 	priceWeek29Z1 	energyWeek30Z1 	priceWeek30Z1 	energyWeek31Z1 	priceWeek31Z1 	energyWeek32Z1 	priceWeek32Z1 	energyWeek33Z1 	priceWeek33Z1 	energyWeek34Z1 	priceWeek34Z1 	energyWeek35Z1 	priceWeek35Z1 	energyWeek36Z1 	priceWeek36Z1 	energyWeek37Z1 	priceWeek37Z1 	energyWeek38Z1 	priceWeek38Z1 	energyWeek39Z1 	priceWeek39Z1 	energyWeek40Z1 	priceWeek40Z1 	energyWeek41Z1 	priceWeek41Z1 	energyWeek42Z1 	priceWeek42Z1 	energyWeek43Z1 	priceWeek43Z1 	energyWeek44Z1 	priceWeek44Z1 	energyWeek45Z1 	priceWeek45Z1 	energyWeek46Z1 	priceWeek46Z1 	energyWeek47Z1 	priceWeek47Z1 	energyWeek48Z1 	priceWeek48Z1 	energyWeek49Z1 	priceWeek49Z1 	energyWeek50Z1 	priceWeek50Z1 	energyWeek51Z1 	priceWeek51Z1 	
10.0 	573111.3098464782 	1119046.629730001 	1621843.751630607 	3166018.7800142076 	2269772.436970202 	4404116.950138924 	1486173.157666956 	2901806.558657436 	1382236.8160635603 	2707849.3769067465 	1774493.9976379185 	3469071.8841096833 	1927572.130189395 	3763163.3107235506 	1255798.968128007 	2465086.702918387 	849322.793517757 	1675973.523022035 	1214474.1101846907 	2383683.594309553 	896658.4820261582 	1771674.1140313516 	277607.4071483116 	549776.0185224727 	325166.90667170496 	650333.8133434099 	207952.1828961419 	415904.3657922838 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.66817706932 	195074.50969228637 	987496.1821740572 	1925442.9878011432 	1307160.0060756307 	2549840.8458263637 	964977.6355948513 	1879284.4366552853 	869997.0985993249 	1700167.185923901 	1413395.7161596813 	2753164.694073108 	1599429.40076429 	3117950.6983655076 	1616129.4744732801 	3150777.954529143 	973032.298555877 	1898860.587560557 	2027885.6400549414 	3945609.716983545 	
10.5 	573111.3098464782 	1119046.629730001 	1621843.751630607 	3166018.7800142076 	2269772.436970202 	4404116.950138924 	1486173.157666956 	2901806.558657436 	1382236.8160635603 	2707849.3769067465 	1774493.9976379185 	3469071.8841096833 	1927572.130189395 	3763163.3107235506 	1255798.968128007 	2465086.702918387 	849322.793517757 	1675973.523022035 	1214474.1101846907 	2383683.594309553 	896658.4820261582 	1771674.1140313516 	277607.4071483116 	549776.0185224727 	325166.90667170496 	650333.8133434099 	207952.1828961419 	415904.3657922838 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.66817706932 	195074.50969228637 	987496.1821740572 	1925442.9878011432 	1307160.0060756307 	2549840.8458263637 	964977.6355948513 	1879284.4366552853 	869997.0985993249 	1700167.185923901 	1413395.7161596813 	2753164.694073108 	1599429.40076429 	3117950.6983655076 	1616129.4744732801 	3150777.954529143 	973032.298555877 	1898860.587560557 	2027885.6400549414 	3945609.716983545 	
11.0 	573111.3098464782 	1119046.629730001 	1621843.751630607 	3166018.7800142076 	2269772.436970202 	4404116.950138924 	1486173.157666956 	2901806.558657436 	1382236.8160635603 	2707849.3769067465 	1774493.9976379185 	3469071.8841096833 	1927572.130189395 	3763163.3107235506 	1255798.968128007 	2465086.702918387 	849322.793517757 	1675973.523022035 	1214474.1101846907 	2383683.594309553 	896658.4820261582 	1771674.1140313516 	277607.4071483116 	549776.0185224727 	325166.90667170496 	650333.8133434099 	207952.1828961419 	415904.3657922838 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.66817706932 	195074.50969228637 	987496.1821740572 	1925442.9878011432 	1307160.0060756307 	2549840.8458263637 	964977.6355948513 	1879284.4366552853 	869997.0985993249 	1700167.185923901 	1413395.7161596813 	2753164.694073108 	1599429.40076429 	3117950.6983655076 	1616129.4744732801 	3150777.954529143 	973032.298555877 	1898860.587560557 	2027885.6400549414 	3945609.716983545 	
11.5 	573111.3098464782 	1119046.629730001 	1621843.751630607 	3166018.7800142076 	2269772.436970202 	4404116.950138924 	1486173.157666956 	2901806.558657436 	1382236.8160635603 	2707849.3769067465 	1774493.9976379185 	3469071.8841096833 	1927572.130189395 	3763163.3107235506 	1255798.968128007 	2465086.702918387 	849322.793517757 	1675973.523022035 	1214474.1101846907 	2383683.594309553 	896658.4820261582 	1771674.1140313516 	277607.4071483116 	549776.0185224727 	325166.90667170496 	650333.8133434099 	207952.1828961419 	415904.3657922838 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.66817706932 	195074.50969228637 	987496.1821740572 	1925442.9878011432 	1307160.0060756307 	2549840.8458263637 	964977.6355948513 	1879284.4366552853 	869997.0985993249 	1700167.185923901 	1413395.7161596813 	2753164.694073108 	1599429.40076429 	3117950.6983655076 	1616129.4744732801 	3150777.954529143 	973032.298555877 	1898860.587560557 	2027885.6400549414 	3945609.716983545 	
12.0 	573111.3098464782 	1119046.629730001 	1621843.751630607 	3166018.7800142076 	2269772.436970202 	4404116.950138924 	1486173.157666956 	2901806.558657436 	1382236.8160635603 	2707849.3769067465 	1774493.9976379185 	3469071.8841096833 	1927572.130189395 	3763163.3107235506 	1255798.968128007 	2465086.702918387 	849322.793517757 	1675973.523022035 	1214474.1101846907 	2383683.594309553 	896658.4820261582 	1771674.1140313516 	277607.4071483116 	549776.0185224727 	325166.90667170496 	650333.8133434099 	207952.1828961419 	415904.3657922838 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.66817706932 	195074.50969228637 	987496.1821740572 	1925442.9878011432 	1307160.0060756307 	2549840.8458263637 	964977.6355948513 	1879284.4366552853 	869997.0985993249 	1700167.185923901 	1413395.7161596813 	2753164.694073108 	1599429.40076429 	3117950.6983655076 	1616129.4744732801 	3150777.954529143 	973032.298555877 	1898860.587560557 	2027885.6400549414 	3945609.716983545 	
12.5 	573111.3098464782 	1119046.629730001 	1621843.751630607 	3166018.7800142076 	2267496.3946130397 	4399713.432502824 	1485660.958711395 	2900806.5056748968 	1382208.2264198984 	2707793.6866886034 	1774492.23821888 	3469068.4562442536 	1927572.011559032 	3763163.08021803 	1255798.9572279195 	2465086.6816506432 	849322.792824849 	1675973.5216553062 	1214474.1101438268 	2383683.5942296553 	896658.4820237808 	1771674.1140266762 	277607.40714812727 	549776.018522108 	325166.9066717029 	650333.8133434058 	207952.18289614475 	415904.3657922895 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.6681770767 	195074.50969230107 	987496.1821740668 	1925442.9878011623 	1307160.0060756279 	2549840.845826359 	964977.6355948171 	1879284.436655218 	869997.0985993095 	1700167.1859238711 	1413395.7161596785 	2753164.694073103 	1599429.4007643175 	3117950.698365561 	1616129.4744732801 	3150777.954529143 	973032.2985558774 	1898860.5875605575 	2027885.6400549524 	3945609.716983567 	
13.0 	573111.3098464782 	1119046.629730001 	1621843.751630607 	3166018.7800142076 	2264028.1814712645 	4393001.346378531 	1484905.9839763672 	2899332.4376285947 	1382166.039594121 	2707711.510216886 	1774489.639736699 	3469063.3936360604 	1927571.8359495115 	3763162.7390000634 	1255798.9410092183 	2465086.650005569 	849322.7917912204 	1675973.51961652 	1214474.1100828385 	2383683.594110412 	896658.4820202364 	1771674.1140197057 	277607.40714787436 	549776.0185216094 	325166.9066716963 	650333.8133433926 	207952.1828961456 	415904.3657922912 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.66817709676 	195074.50969234065 	987496.1821740669 	1925442.9878011623 	1307160.006075625 	2549840.8458263534 	964977.6355948567 	1879284.4366552958 	869997.0985993168 	1700167.1859238853 	1413395.7161597158 	2753164.6940731755 	1599429.4007643198 	3117950.6983655654 	1616129.4744732825 	3150777.9545291476 	973032.2985558779 	1898860.5875605587 	2027885.640054958 	3945609.7169835777 	
13.5 	573111.3098464782 	1119046.629730001 	1621843.751630607 	3166018.7800142076 	2267091.7444666578 	4391097.780676354 	1483359.1559976614 	2896311.671755563 	1382082.9832501356 	2707549.710591375 	1774484.6100737052 	3469053.593790078 	1927571.4932270006 	3763162.0730856312 	1255798.907820321 	2465086.5852508247 	849322.7896234252 	1675973.5153405895 	1214474.1099537038 	2383683.5938579272 	896658.4820126868 	1771674.1140048576 	277607.4071473538 	549776.018520579 	325166.9066716659 	650333.8133433318 	207952.1828961503 	415904.3657923006 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.66817706561 	195074.50969227895 	987496.1821740629 	1925442.9878011544 	1307160.006075623 	2549840.8458263483 	964977.6355948421 	1879284.4366552674 	869997.0985993149 	1700167.1859238816 	1413395.7161596983 	2753164.6940731416 	1599429.4007643077 	3117950.6983655416 	1616129.4744732797 	3150777.954529142 	973032.2985558646 	1898860.5875605326 	2027885.640054934 	3945609.7169835307 	
14.0 	573111.3098464782 	1119046.629730001 	1634505.543908369 	3178680.5722919693 	2266233.7759677097 	4372455.451926495 	1480811.1654677554 	2891335.421082289 	1381947.5180011706 	2707285.807152131 	1774476.428814882 	3469037.653014951 	1927307.8755966586 	3762652.187663342 	1255759.470530079 	2465009.6403229386 	849320.5615475915 	1675969.1211586571 	1214473.983054581 	2383683.345774347 	896658.4748492107 	1771674.0999177773 	277607.4066425762 	549776.0175230359 	325166.9066443616 	650333.8132887232 	207952.18289170807 	415904.36578341614 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.66817708746 	195074.50969232243 	987496.1821740672 	1925442.9878011623 	1307160.006075622 	2549840.8458263474 	964977.6355948559 	1879284.4366552942 	869997.098599326 	1700167.1859239028 	1413395.716159691 	2753164.6940731276 	1599429.4007643017 	3117950.698365531 	1616129.474473275 	3150777.9545291327 	973032.2985558828 	1898860.5875605682 	2027885.6400549524 	3945609.7169835665 	
14.5 	573111.3098464782 	1119046.629730001 	1676158.7565474086 	3231086.483620888 	2238703.6279949183 	4318169.027660001 	1477394.6842349998 	2884663.610866517 	1381114.047375503 	2705668.8391742213 	1774394.4234182816 	3468877.9290395402 	1924840.0240608752 	3757879.760165394 	1255405.6294986524 	2464319.273199246 	849300.5140068647 	1675929.5835800285 	1214472.8403121908 	2383681.111746834 	896658.4103030089 	1771673.97298656 	277607.4020930547 	549776.0085322498 	325166.9063983443 	650333.8127966886 	207952.18285171982 	415904.36570343963 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	100233.6681770898 	195074.50969232694 	987496.1821740763 	1925442.9878011807 	1307160.0060756325 	2549840.8458263674 	964977.6355948376 	1879284.4366552585 	869997.09859934 	1700167.1859239305 	1413395.716159703 	2753164.6940731504 	1597256.0712875302 	3113737.9654895305 	1615893.6662033636 	3150318.1169778965 	973017.3470817182 	1898831.320737523 	2027868.8750100536 	3945577.318582651 	
